Year,Team,matches_total,wins_total,draws_total,losses_total,goals_for_total,goals_against_total,avg_attendance,away_matches,home_matches,away_wins,home_wins,away_avg_attendance,home_avg_attendance,win_attendance_avg,away_win_attendance_avg,home_win_attendance_avg,goal_balance_total,win_rate_total,home_win_rate,away_win_rate,home_away_win_rate_delta,attendance_win_minus_avg,home_away_win_attendance_delta,HostCountry,Winner,QualifiedTeams,tournament_matches_played,tournament_attendance,is_host_team,is_world_cup_winner
1998.0,Belgium,3,0,3,0,3.0,3.0,51433.333333333336,1.0,2.0,0.0,0.0,77000.0,38650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51433.333333333336,0.0,France,France,32,64,2785100,0,0
1998.0,Brazil,7,4,1,2,14.0,10.0,55071.42857142857,0.0,7.0,0.0,4.0,0.0,55071.42857142857,49125.0,0.0,49125.0,4.0,0.5714285714285714,0.5714285714285714,0.0,0.0,-5946.4285714285725,49125.0,France,France,32,64,2785100,0,0
1998.0,Bulgaria,3,0,1,2,1.0,7.0,37800.0,3.0,0.0,0.0,0.0,37800.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,-37800.0,0.0,France,France,32,64,2785100,0,0
1998.0,Cameroon,3,0,2,1,2.0,5.0,32933.333333333336,2.0,1.0,0.0,0.0,32650.0,33500.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-32933.333333333336,0.0,France,France,32,64,2785100,0,0
1998.0,Chile,4,0,3,1,5.0,8.0,35850.0,2.0,2.0,0.0,0.0,38650.0,33050.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-35850.0,0.0,France,France,32,64,2785100,0,0
1998.0,Colombia,3,1,0,2,1.0,3.0,35666.666666666664,1.0,2.0,0.0,1.0,39100.0,33950.0,29800.0,0.0,29800.0,-2.0,0.3333333333333333,0.5,0.0,0.5,-5866.666666666664,29800.0,France,France,32,64,2785100,0,0
1998.0,Croatia,7,5,0,2,11.0,5.0,42542.857142857145,7.0,0.0,5.0,0.0,42542.857142857145,0.0,38000.0,38000.0,0.0,6.0,0.7142857142857143,0.0,0.7142857142857143,0.0,-4542.857142857145,-38000.0,France,France,32,64,2785100,0,0
1998.0,Denmark,5,2,1,2,9.0,7.0,44640.0,5.0,0.0,2.0,0.0,44640.0,0.0,57550.0,57550.0,0.0,2.0,0.4,0.0,0.4,0.0,12910.0,-57550.0,France,France,32,64,2785100,0,0
1998.0,England,4,2,1,1,7.0,4.0,39300.0,3.0,1.0,1.0,1.0,34066.666666666664,55000.0,46550.0,38100.0,55000.0,3.0,0.5,1.0,0.3333333333333333,0.6666666666666667,7250.0,16900.0,France,France,32,64,2785100,0,0
1998.0,France,7,6,1,0,15.0,2.0,62700.0,2.0,5.0,1.0,5.0,78500.0,56380.0,60316.666666666664,80000.0,56380.0,13.0,0.8571428571428571,1.0,0.5,0.5,-2383.3333333333358,-23620.0,France,France,32,64,2785100,1,1
1998.0,Germany,5,3,1,1,8.0,6.0,36460.0,0.0,5.0,0.0,3.0,0.0,36460.0,35033.333333333336,0.0,35033.333333333336,2.0,0.6,0.6,0.0,0.0,-1426.6666666666642,35033.333333333336,France,France,32,64,2785100,0,0
1998.0,Iran,3,1,0,2,2.0,4.0,33166.666666666664,3.0,0.0,1.0,0.0,33166.666666666664,0.0,39100.0,39100.0,0.0,-2.0,0.3333333333333333,0.0,0.3333333333333333,0.0,5933.333333333336,-39100.0,France,France,32,64,2785100,0,0
1998.0,Italy,5,3,2,0,8.0,3.0,54720.0,0.0,5.0,0.0,3.0,0.0,54720.0,54933.333333333336,0.0,54933.333333333336,5.0,0.6,0.6,0.0,0.0,213.33333333333576,54933.333333333336,France,France,32,64,2785100,0,0
1998.0,Jamaica,3,1,0,2,3.0,9.0,40900.0,2.0,1.0,1.0,0.0,42300.0,38100.0,39100.0,39100.0,0.0,-6.0,0.3333333333333333,0.0,0.5,-0.5,-1800.0,-39100.0,France,France,32,64,2785100,0,0
1998.0,Japan,3,0,0,3,1.0,4.0,36033.333333333336,1.0,2.0,0.0,0.0,33500.0,37300.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-36033.333333333336,0.0,France,France,32,64,2785100,0,0
1998.0,Korea Republic,3,0,1,2,2.0,9.0,46533.333333333336,2.0,1.0,0.0,0.0,50250.0,39100.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,-46533.333333333336,0.0,France,France,32,64,2785100,0,0
1998.0,Mexico,4,1,2,1,8.0,7.0,32825.0,4.0,0.0,1.0,0.0,32825.0,0.0,39100.0,39100.0,0.0,1.0,0.25,0.0,0.25,0.0,6275.0,-39100.0,France,France,32,64,2785100,0,0
1998.0,Morocco,3,1,1,1,5.0,5.0,31966.666666666668,2.0,1.0,1.0,0.0,33050.0,29800.0,30600.0,30600.0,0.0,0.0,0.3333333333333333,0.0,0.5,-0.5,-1366.6666666666679,-30600.0,France,France,32,64,2785100,0,0
1998.0,Netherlands,7,3,3,1,13.0,7.0,50085.71428571428,1.0,6.0,0.0,3.0,54000.0,49433.333333333336,47833.333333333336,0.0,47833.333333333336,6.0,0.42857142857142855,0.5,0.0,0.5,-2252.380952380947,47833.333333333336,France,France,32,64,2785100,0,0
1998.0,Nigeria,4,2,0,2,6.0,9.0,47875.0,1.0,3.0,1.0,1.0,35500.0,52000.0,40500.0,35500.0,45500.0,-3.0,0.5,0.3333333333333333,1.0,-0.6666666666666667,-7375.0,10000.0,France,France,32,64,2785100,0,0
1998.0,Norway,4,1,2,1,5.0,5.0,42900.0,4.0,0.0,1.0,0.0,42900.0,0.0,55000.0,55000.0,0.0,0.0,0.25,0.0,0.25,0.0,12100.0,-55000.0,France,France,32,64,2785100,0,0
1998.0,Paraguay,4,1,2,1,3.0,2.0,31425.0,3.0,1.0,1.0,0.0,31966.666666666668,29800.0,33500.0,33500.0,0.0,1.0,0.25,0.0,0.3333333333333333,-0.3333333333333333,2075.0,-33500.0,France,France,32,64,2785100,0,0
1998.0,Romania,4,2,1,1,4.0,3.0,45350.0,0.0,4.0,0.0,2.0,0.0,45350.0,36300.0,0.0,36300.0,1.0,0.5,0.5,0.0,0.0,-9050.0,36300.0,France,France,32,64,2785100,0,0
1998.0,Saudi Arabia,3,0,1,2,2.0,7.0,49966.666666666664,2.0,1.0,0.0,0.0,55900.0,38100.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-49966.666666666664,0.0,France,France,32,64,2785100,0,0
1998.0,Scotland,3,0,1,2,2.0,6.0,47466.666666666664,1.0,2.0,0.0,0.0,80000.0,31200.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,-47466.666666666664,0.0,France,France,32,64,2785100,0,0
