Year,Datetime,Stage,Stadium,City,HomeTeamName,HomeTeamGoals,AwayTeamGoals,AwayTeamName,Winconditions,Attendance,HalftimeHomeGoals,HalftimeAwayGoals,Referee,Assistant1,Assistant2,RoundID,MatchID,HomeTeamInitials,AwayTeamInitials
2002,2002-06-12 15:30,Group F,Osaka Nagai Stadium,Osaka,Nigeria,0,0,England,,44864,0,0,HALL BRIAN (USA),VERGARA HECTOR (CAN),AMLER EVZEN (CZE),43950100,43950038,NGA,ENG
2002,2002-06-12 20:30,Group B,Jeju World Cup Stadium,Jeju,Slovenia,1,3,Paraguay,,30176,1,0,RAMOS RIZO FELIPE (MEX),LINDBERG LEIF (SWE),KRISHNAN VISVA (SIN),43950100,43950040,SVN,PAR
2002,2002-06-12 20:30,Group B,Daejeon World Cup Stadium,Daejeon,South Africa,2,3,Spain,,31024,1,2,MANE SAAD (KUW),RATTALINO JORGE (ARG),HASSOUNEH AWNI (JOR),43950100,43950039,RSA,ESP
2002,2002-06-13 15:30,Group C,Suwon World Cup Stadium,Suwon,Costa Rica,2,5,Brazil,,38524,1,3,EL GHANDOUR GAMAL (EGY),FARAG WAGIH (EGY),BEREUTER EGON (AUT),43950100,43950041,CRC,BRA
2002,2002-06-13 15:30,Group C,Seoul World Cup Stadium,Seoul,Turkey,3,0,China PR,,43605,2,0,RUIZ OSCAR (COL),TOMUSANGE ALI (UGA),CHARLES CURTIS (ATG),43950100,43950042,TUR,CHN
2002,2002-06-13 20:30,Group G,International Stadium Yokohama,Yokohama,Ecuador,1,0,Croatia,,65862,0,0,MATTUS WILLIAM (CRC),GIACOMUZZI MIGUEL (PAR),VAN NYLEN ROLAND (BEL),43950100,43950044,ECU,CRO
2002,2002-06-13 20:30,Group G,Oita Stadium Big Eye,Oita,Mexico,1,1,Italy,,39291,1,0,SIMON CARLOS (BRA),OLIVEIRA JORGE (BRA),AWANG HAMAT MAT LAZIM (MAS),43950100,43950043,MEX,ITA
2002,2002-06-14 15:30,Group H,Osaka Nagai Stadium,Osaka,Tunisia,0,2,Japan,,45213,0,0,VEISSIERE GILLES (FRA),ARNAULT FREDERIC (FRA),KOLEIT HAIDAR (LIB),43950100,43950045,TUN,JPN
2002,2002-06-14 20:30,Group D,Incheon Football Stadium,Incheon,Portugal,0,1,Korea Republic,,50239,0,0,SANCHEZ ANGEL (ARG),ALTRAIFI ALI (KSA),SZEKELY FERENC (HUN),43950100,43950047,POR,KOR
2002,2002-06-14 20:30,Group D,Daejeon World Cup Stadium,Daejeon,Poland,3,1,USA,,26482,2,0,LU JUN (CHN),FIERRO BOMER (ECU),POOL JAAP (NED),43950100,43950048,POL,USA
2002,2002-06-14 15:30,Group H,Shizuoka Stadium Ecopa,Shizuoka,Belgium,3,2,Russia,,46640,1,0,NIELSEN KIM MILTON (DEN),SHARP PHILIP (ENG),KOMALEESWARAN SANKAR (IND),43950100,43950046,BEL,RUS
2002,2002-06-15 20:30,Round of 16,Niigata Stadium Big Swan,Niigata,Denmark,0,3,England,,40582,0,3,MERK MARKUS (GER),MUELLER HEINER (GER),AMLER EVZEN (CZE),43950200,43950050,DEN,ENG
2002,2002-06-15 15:30,Round of 16,Jeju World Cup Stadium,Jeju,Germany,1,0,Paraguay,,25176,0,0,BATRES CARLOS (GUA),CHARLES CURTIS (ATG),DANTE DRAMANE (MLI),43950200,43950049,GER,PAR
2002,2002-06-16 20:30,Round of 16,Suwon World Cup Stadium,Suwon,Spain,1,1,"rn"">Republic of Ireland",Spain win on penalties (3 - 2),38926,0,0,FRISK ANDERS (SWE),LINDBERG LEIF (SWE),SRAMKA IGOR (SVK),43950200,43950052,ESP,IRL
2002,2002-06-16 15:30,Round of 16,Oita Stadium Big Eye,Oita,Sweden,1,2,Senegal,Win on Golden Goal,39747,0,0,AQUINO UBALDO (PAR),GIACOMUZZI MIGUEL (PAR),VERGARA HECTOR (CAN),43950200,43950051,SWE,SEN
2002,2002-06-17 20:30,Round of 16,Kobe Wing Stadium,Kobe,Brazil,2,0,Belgium,,40440,0,0,PRENDERGAST PETER (JAM),DUPANOV YURI (BLR),SAEED MOHAMED (MDV),43950200,43950054,BRA,BEL
2002,2002-06-17 15:30,Round of 16,Jeonju World Cup Stadium,Jeonju,Mexico,0,2,USA,,36380,0,1,MELO PEREIRA VITOR (POR),MATOS CARLOS (POR),BEREUTER EGON (AUT),43950200,43950053,MEX,USA
2002,2002-06-18 15:30,Round of 16,Miyagi Stadium,Rifu,Japan,0,1,Turkey,,45666,0,1,COLLINA PIERLUIGI (ITA),WIERZBOWSKI MACIEJ (POL),SMITH PAUL (NZL),43950200,43950055,JPN,TUR
2002,2002-06-18 20:30,Round of 16,Daejeon World Cup Stadium,Daejeon,Korea Republic,2,1,Italy,Win on Golden Goal,38588,0,0,MORENO BYRON (ECU),RATTALINO JORGE (ARG),SZEKELY FERENC (HUN),43950200,43950056,KOR,ITA
2002,2002-06-21 15:30,Quarter-finals,Shizuoka Stadium Ecopa,Shizuoka,England,1,2,Brazil,,47436,1,1,RAMOS RIZO FELIPE (MEX),VERGARA HECTOR (CAN),SAEED MOHAMED (MDV),43950300,43950057,ENG,BRA
2002,2002-06-21 20:30,Quarter-finals,Munsu Football Stadium,Ulsan,Germany,1,0,USA,,37337,1,0,DALLAS HUGH (SCO),SHARP PHILIP (ENG),ALTRAIFI ALI (KSA),43950300,43950058,GER,USA
2002,2002-06-22 20:30,Quarter-finals,Osaka Nagai Stadium,Osaka,Senegal,0,1,Turkey,Win on Golden Goal,44233,0,0,RUIZ OSCAR (COL),RATTALINO JORGE (ARG),GIACOMUZZI MIGUEL (PAR),43950300,43950060,SEN,TUR
2002,2002-06-22 15:30,Quarter-finals,Gwangju World Cup Stadium,Gwangju,Spain,0,0,Korea Republic,Korea Republic win on penalties (3 - 5),42114,0,0,EL GHANDOUR GAMAL (EGY),TOMUSANGE ALI (UGA),RAGOONATH MICHAEL (TRI),43950300,43950059,ESP,KOR
2002,2002-06-25 20:30,Semi-finals,Seoul World Cup Stadium,Seoul,Germany,1,0,Korea Republic,,65256,0,0,MEIER URS (SUI),ARNAULT FREDERIC (FRA),AMLER EVZEN (CZE),43950400,43950061,GER,KOR
2002,2002-06-26 20:30,Semi-finals,Saitama Stadium 2002,Saitama,Brazil,1,0,Turkey,,61058,0,0,NIELSEN KIM MILTON (DEN),WIERZBOWSKI MACIEJ (POL),SRAMKA IGOR (SVK),43950400,43950062,BRA,TUR
2002,2002-06-29 20:00,Third place,Daegu World Cup Stadium,Daegu,Korea Republic,2,3,Turkey,,63483,1,3,MANE SAAD (KUW),ALTRAIFI ALI (KSA),VERGARA HECTOR (CAN),43950500,43950063,KOR,TUR
2002,2002-06-30 20:00,Final,International Stadium Yokohama,Yokohama,Germany,0,2,Brazil,,69029,0,0,COLLINA PIERLUIGI (ITA),LINDBERG LEIF (SWE),SHARP PHILIP (ENG),43950600,43950064,GER,BRA
2006,2006-06-09 18:00,Group A,"FIFA World Cup Stadium, Munich",Munich,Germany,4,2,Costa Rica,,66000,2,1,ELIZONDO HORACIO (ARG),GARCIA DARIO (ARG),OTERO RODOLFO (ARG),97410100,97410001,GER,CRC
2006,2006-06-09 21:00,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Poland,0,2,Ecuador,,52000,0,1,KAMIKAWA TORU (JPN),HIROSHIMA YOSHIKAZU (JPN),KIM DAE YOUNG (KOR),97410100,97410002,POL,ECU
2006,2006-06-10 15:00,Group B,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,England,1,0,Paraguay,,48000,1,0,RODRIGUEZ MARCO (MEX),CAMARGO JOSE LUIS (MEX),LEAL LEONEL (CRC),97410100,97410003,ENG,PAR
2006,2006-06-10 18:00,Group B,"FIFA World Cup Stadium, Dortmund",Dortmund,"rn"">Trinidad and Tobago",0,0,Sweden,,62959,0,0,MAIDIN SHAMSUL (SIN),PERMPANICH PRACHYA (THA),GHULOUM EISA (UAE),97410100,97410004,TRI,SWE
2006,2006-06-10 21:00,Group C,"FIFA World Cup Stadium, Hamburg",Hamburg,Argentina,2,1,C�te d'Ivoire,,49480,2,0,DE BLEECKERE FRANK (BEL),HERMANS PETER (BEL),VROMANS WALTER (BEL),97410100,97410005,ARG,CIV
2006,2006-06-11 15:00,Group C,Zentralstadion,Leipzig,"rn"">Serbia and Montenegro",0,1,Netherlands,,43000,0,1,MERK MARKUS (GER),SCHRAER CHRISTIAN (GER),SALVER JAN-HENDRIK (GER),97410100,97410006,SCG,NED
2006,2006-06-11 18:00,Group D,Franken-Stadion,Nuremberg,Mexico,3,1,Iran,,41000,1,1,ROSETTI ROBERTO (ITA),COPELLI CRISTIANO (ITA),STAGNOLI ALESSANDRO (ITA),97410100,97410007,MEX,IRN
2006,2006-06-11 21:00,Group D,"FIFA World Cup Stadium, Cologne",Cologne,Angola,0,1,Portugal,,45000,0,1,LARRIONDA JORGE (URU),RIAL WALTER (URU),FANDINO PABLO (URU),97410100,97410008,ANG,POR
2006,2006-06-12 15:00,Group F,Fritz-Walter-Stadion,Kaiserslautern,Australia,3,1,Japan,,46000,0,1,ABD EL FATAH ESSAM (EGY),DANTE DRAMANE (MLI),NDOYE MAMADOU (SEN),97410100,97410012,AUS,JPN
2006,2006-06-12 18:00,Group E,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,USA,0,3,Czech Republic,,52000,0,2,AMARILLA CARLOS (PAR),ANDINO AMELIO (PAR),BERNAL MANUEL (PAR),97410100,97410010,USA,CZE
2006,2006-06-12 21:00,Group E,"FIFA World Cup Stadium, Hanover",Hanover,Italy,2,0,Ghana,,43000,1,0,SIMON CARLOS (BRA),TAVARES ARISTEU (BRA),CORONA EDNILSON (BRA),97410100,97410009,ITA,GHA
2006,2006-06-13 15:00,Group G,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,Korea Republic,2,1,Togo,,48000,0,1,POLL GRAHAM (ENG),SHARP PHILIP (ENG),TURNER GLENN (ENG),97410100,97410014,KOR,TOG
2006,2006-06-13 18:00,Group G,Gottlieb-Daimler-Stadion,Stuttgart,France,0,0,Switzerland,,52000,0,0,IVANOV VALENTIN (RUS),GOLUBEV NIKOLAI (RUS),VOLNIN EVGUENI (RUS),97410100,97410013,FRA,SUI
2006,2006-06-13 21:00,Group F,Olympiastadion,Berlin,Brazil,1,0,Croatia,,72000,1,0,ARCHUNDIA BENITO (MEX),RAMIREZ JOSE (MEX),VERGARA HECTOR (CAN),97410100,97410011,BRA,CRO
2006,2006-06-14 15:00,Group H,Zentralstadion,Leipzig,Spain,4,0,Ukraine,,43000,2,0,BUSACCA MASSIMO (SUI),BURAGINA FRANCESCO (SUI),ARNET MATTHIAS (SUI),97410100,97410015,ESP,UKR
2006,2006-06-14 18:00,Group H,"FIFA World Cup Stadium, Munich",Munich,Tunisia,2,2,Saudi Arabia,,66000,1,0,SHIELD MARK (AUS),GIBSON NATHAN (AUS),WILSON BEN (AUS),97410100,97410016,TUN,KSA
2006,2006-06-14 21:00,Group A,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,1,0,Poland,,65000,0,0,MEDINA CANTALEJO LUIS (ESP),GIRALDEZ CARRASCO VICTORIANO (ESP),MEDINA HERNANDEZ PEDRO (ESP),97410100,97410017,GER,POL
2006,2006-06-15 15:00,Group A,"FIFA World Cup Stadium, Hamburg",Hamburg,Ecuador,3,0,Costa Rica,,50000,1,0,CODJIA COFFI (BEN),NTAGUNGIRA CELESTIN (RWA),ADERODJOU ABOUDOU (BEN),97410100,97410018,ECU,CRC
2006,2006-06-15 18:00,Group B,Franken-Stadion,Nuremberg,England,2,0,"rn"">Trinidad and Tobago",,41000,0,0,KAMIKAWA TORU (JPN),HIROSHIMA YOSHIKAZU (JPN),KIM DAE YOUNG (KOR),97410100,97410019,ENG,TRI
2006,2006-06-15 21:00,Group B,Olympiastadion,Berlin,Sweden,1,0,Paraguay,,72000,0,0,MICHEL LUBOS (SVK),ROMAN SLYSKO (SVK),BALKO MARTIN (SVK),97410100,97410020,SWE,PAR
2006,2006-06-16 15:00,Group C,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Argentina,6,0,"rn"">Serbia and Montenegro",,52000,3,0,ROSETTI ROBERTO (ITA),COPELLI CRISTIANO (ITA),STAGNOLI ALESSANDRO (ITA),97410100,97410021,ARG,SCG
2006,2006-06-16 18:00,Group C,Gottlieb-Daimler-Stadion,Stuttgart,Netherlands,2,1,C�te d'Ivoire,,52000,2,1,RUIZ OSCAR (COL),TAMAYO FERNANDO (ECU),NAVIA JOSE (COL),97410100,97410022,NED,CIV
2006,2006-06-16 21:00,Group D,"FIFA World Cup Stadium, Hanover",Hanover,Mexico,0,0,Angola,,43000,0,0,MAIDIN SHAMSUL (SIN),PERMPANICH PRACHYA (THA),GHULOUM EISA (UAE),97410100,97410023,MEX,ANG
2006,2006-06-17 15:00,Group D,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,Portugal,2,0,IR Iran,,48000,0,0,POULAT ERIC (FRA),DAGORNE LIONEL (FRA),TEXIER VINCENT (FRA),97410100,97410024,POR,IRN
2006,2006-06-17 18:00,Group E,"FIFA World Cup Stadium, Cologne",Cologne,Czech Republic,0,2,Ghana,,45000,0,1,ELIZONDO HORACIO (ARG),GARCIA DARIO (ARG),OTERO RODOLFO (ARG),97410100,97410026,CZE,GHA
2006,2006-06-17 21:00,Group E,Fritz-Walter-Stadion,Kaiserslautern,Italy,1,1,USA,,46000,1,1,LARRIONDA JORGE (URU),RIAL WALTER (URU),FANDINO PABLO (URU),97410100,97410025,ITA,USA
2006,2006-06-18 15:00,Group F,Franken-Stadion,Nuremberg,Japan,0,0,Croatia,,41000,0,0,DE BLEECKERE FRANK (BEL),HERMANS PETER (BEL),VROMANS WALTER (BEL),97410100,97410028,JPN,CRO
2006,2006-06-18 18:00,Group F,"FIFA World Cup Stadium, Munich",Munich,Brazil,2,0,Australia,,66000,0,0,MERK MARKUS (GER),SCHRAER CHRISTIAN (GER),SALVER JAN-HENDRIK (GER),97410100,97410027,BRA,AUS
2006,2006-06-18 21:00,Group G,Zentralstadion,Leipzig,France,1,1,Korea Republic,,43000,1,0,ARCHUNDIA BENITO (MEX),RAMIREZ JOSE (MEX),VERGARA HECTOR (CAN),97410100,97410029,FRA,KOR
2006,2006-06-19 15:00,Group G,"FIFA World Cup Stadium, Dortmund",Dortmund,Togo,0,2,Switzerland,,65000,0,1,AMARILLA CARLOS (PAR),ANDINO AMELIO (PAR),BERNAL MANUEL (PAR),97410100,97410030,TOG,SUI
2006,2006-06-19 18:00,Group H,"FIFA World Cup Stadium, Hamburg",Hamburg,Saudi Arabia,0,4,Ukraine,,50000,0,2,POLL GRAHAM (ENG),SHARP PHILIP (ENG),TURNER GLENN (ENG),97410100,97410032,KSA,UKR
2006,2006-06-19 21:00,Group H,Gottlieb-Daimler-Stadion,Stuttgart,Spain,3,1,Tunisia,,52000,0,1,SIMON CARLOS (BRA),TAVARES ARISTEU (BRA),CORONA EDNILSON (BRA),97410100,97410031,ESP,TUN
2006,2006-06-20 16:00,Group A,Olympiastadion,Berlin,Ecuador,0,3,Germany,,72000,0,2,IVANOV VALENTIN (RUS),GOLUBEV NIKOLAI (RUS),VOLNIN EVGUENI (RUS),97410100,97410033,ECU,GER
2006,2006-06-20 16:00,Group A,"FIFA World Cup Stadium, Hanover",Hanover,Costa Rica,1,2,Poland,,43000,1,1,MAIDIN SHAMSUL (SIN),PERMPANICH PRACHYA (THA),GHULOUM EISA (UAE),97410100,97410034,CRC,POL
2006,2006-06-20 21:00,Group B,"FIFA World Cup Stadium, Cologne",Cologne,Sweden,2,2,England,,45000,0,1,BUSACCA MASSIMO (SUI),BURAGINA FRANCESCO (SUI),ARNET MATTHIAS (SUI),97410100,97410035,SWE,ENG
2006,2006-06-20 21:00,Group B,Fritz-Walter-Stadion,Kaiserslautern,Paraguay,2,0,"rn"">Trinidad and Tobago",,46000,1,0,ROSETTI ROBERTO (ITA),COPELLI CRISTIANO (ITA),STAGNOLI ALESSANDRO (ITA),97410100,97410036,PAR,TRI
2006,2006-06-21 16:00,Group D,Zentralstadion,Leipzig,Iran,1,1,Angola,,38000,0,0,SHIELD MARK (AUS),GIBSON NATHAN (AUS),WILSON BEN (AUS),97410100,97410040,IRN,ANG
2006,2006-06-21 16:00,Group D,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,Portugal,2,1,Mexico,,52000,2,1,MICHEL LUBOS (SVK),ROMAN SLYSKO (SVK),BALKO MARTIN (SVK),97410100,97410039,POR,MEX
2006,2006-06-21 21:00,Group C,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,Netherlands,0,0,Argentina,,48000,0,0,MEDINA CANTALEJO LUIS (ESP),GIRALDEZ CARRASCO VICTORIANO (ESP),MEDINA HERNANDEZ PEDRO (ESP),97410100,97410037,NED,ARG
2006,2006-06-21 21:00,Group C,"FIFA World Cup Stadium, Munich",Munich,C�te d'Ivoire,3,2,"rn"">Serbia and Montenegro",,66000,1,2,RODRIGUEZ MARCO (MEX),CAMARGO JOSE LUIS (MEX),LEAL LEONEL (CRC),97410100,97410038,CIV,SCG
2006,2006-06-22 16:00,Group E,"FIFA World Cup Stadium, Hamburg",Hamburg,Czech Republic,0,2,Italy,,50000,0,1,ARCHUNDIA BENITO (MEX),RAMIREZ JOSE (MEX),VERGARA HECTOR (CAN),97410100,97410041,CZE,ITA
2006,2006-06-22 16:00,Group E,Franken-Stadion,Nuremberg,Ghana,2,1,USA,,41000,2,1,MERK MARKUS (GER),SCHRAER CHRISTIAN (GER),SALVER JAN-HENDRIK (GER),97410100,97410042,GHA,USA
2006,2006-06-22 21:00,Group F,"FIFA World Cup Stadium, Dortmund",Dortmund,Japan,1,4,Brazil,,65000,1,1,POULAT ERIC (FRA),DAGORNE LIONEL (FRA),TEXIER VINCENT (FRA),97410100,97410043,JPN,BRA
2006,2006-06-22 21:00,Group F,Gottlieb-Daimler-Stadion,Stuttgart,Croatia,2,2,Australia,,52000,1,1,POLL GRAHAM (ENG),SHARP PHILIP (ENG),TURNER GLENN (ENG),97410100,97410044,CRO,AUS
2006,2006-06-23 16:00,Group H,Olympiastadion,Berlin,Ukraine,1,0,Tunisia,,72000,0,0,AMARILLA CARLOS (PAR),ANDINO AMELIO (PAR),BERNAL MANUEL (PAR),97410100,97410048,UKR,TUN
2006,2006-06-23 16:00,Group H,Fritz-Walter-Stadion,Kaiserslautern,Saudi Arabia,0,1,Spain,,46000,0,1,CODJIA COFFI (BEN),NTAGUNGIRA CELESTIN (RWA),ADERODJOU ABOUDOU (BEN),97410100,97410047,KSA,ESP
2006,2006-06-23 21:00,Group G,"FIFA World Cup Stadium, Cologne",Cologne,Togo,0,2,France,,45000,0,0,LARRIONDA JORGE (URU),RIAL WALTER (URU),FANDINO PABLO (URU),97410100,97410045,TOG,FRA
2006,2006-06-23 21:00,Group G,"FIFA World Cup Stadium, Hanover",Hanover,Switzerland,2,0,Korea Republic,,43000,1,0,ELIZONDO HORACIO (ARG),GARCIA DARIO (ARG),OTERO RODOLFO (ARG),97410100,97410046,SUI,KOR
2006,2006-06-24 17:00,Round of 16,"FIFA World Cup Stadium, Munich",Munich,Germany,2,0,Sweden,,66000,2,0,SIMON CARLOS (BRA),TAVARES ARISTEU (BRA),CORONA EDNILSON (BRA),97410200,97410049,GER,SWE
2006,2006-06-24 21:00,Round of 16,Zentralstadion,Leipzig,Argentina,2,1,Mexico,Argentina win after extra time,43000,0,0,BUSACCA MASSIMO (SUI),BURAGINA FRANCESCO (SUI),ARNET MATTHIAS (SUI),97410200,97410050,ARG,MEX
2006,2006-06-25 17:00,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart,England,1,0,Ecuador,,52000,0,0,DE BLEECKERE FRANK (BEL),HERMANS PETER (BEL),VROMANS WALTER (BEL),97410200,97410051,ENG,ECU
2006,2006-06-25 21:00,Round of 16,Franken-Stadion,Nuremberg,Portugal,1,0,Netherlands,,41000,1,0,IVANOV VALENTIN (RUS),GOLUBEV NIKOLAI (RUS),VOLNIN EVGUENI (RUS),97410200,97410052,POR,NED
2006,2006-06-26 17:00,Round of 16,Fritz-Walter-Stadion,Kaiserslautern,Italy,1,0,Australia,,46000,0,0,MEDINA CANTALEJO LUIS (ESP),GIRALDEZ CARRASCO VICTORIANO (ESP),MEDINA HERNANDEZ PEDRO (ESP),97410200,97410053,ITA,AUS
2006,2006-06-26 21:00,Round of 16,"FIFA World Cup Stadium, Cologne",Cologne,Switzerland,0,0,Ukraine,Ukraine win on penalties (0 - 3),45000,0,0,ARCHUNDIA BENITO (MEX),RAMIREZ JOSE (MEX),VERGARA HECTOR (CAN),97410200,97410054,SUI,UKR
2006,2006-06-27 17:00,Round of 16,"FIFA World Cup Stadium, Dortmund",Dortmund,Brazil,3,0,Ghana,,65000,2,0,MICHEL LUBOS (SVK),ROMAN SLYSKO (SVK),BALKO MARTIN (SVK),97410200,97410055,BRA,GHA
2006,2006-06-27 21:00,Round of 16,"FIFA World Cup Stadium, Hanover",Hanover,Spain,1,3,France,,43000,1,1,ROSETTI ROBERTO (ITA),COPELLI CRISTIANO (ITA),STAGNOLI ALESSANDRO (ITA),97410200,97410056,ESP,FRA
2006,2006-06-30 17:00,Quarter-finals,Olympiastadion,Berlin,Germany,1,1,Argentina,Germany win on penalties (4 - 2),72000,0,0,MICHEL LUBOS (SVK),ROMAN SLYSKO (SVK),BALKO MARTIN (SVK),97410300,97410057,GER,ARG
2006,2006-06-30 21:00,Quarter-finals,"FIFA World Cup Stadium, Hamburg",Hamburg,Italy,3,0,Ukraine,,50000,1,0,DE BLEECKERE FRANK (BEL),HERMANS PETER (BEL),VROMANS WALTER (BEL),97410300,97410058,ITA,UKR
2006,2006-07-01 17:00,Quarter-finals,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,England,0,0,Portugal,Portugal win on penalties (1 - 3),52000,0,0,ELIZONDO HORACIO (ARG),GARCIA DARIO (ARG),OTERO RODOLFO (ARG),97410300,97410059,ENG,POR
2006,2006-07-01 21:00,Quarter-finals,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,Brazil,0,1,France,,48000,0,0,MEDINA CANTALEJO LUIS (ESP),GIRALDEZ CARRASCO VICTORIANO (ESP),MEDINA HERNANDEZ PEDRO (ESP),97410300,97410060,BRA,FRA
2006,2006-07-04 21:00,Semi-finals,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,0,2,Italy,Italy win after extra time,65000,0,0,ARCHUNDIA BENITO (MEX),RAMIREZ JOSE (MEX),VERGARA HECTOR (CAN),97410400,97410061,GER,ITA
2006,2006-07-05 21:00,Semi-finals,"FIFA World Cup Stadium, Munich",Munich,Portugal,0,1,France,,66000,0,1,LARRIONDA JORGE (URU),RIAL WALTER (URU),FANDINO PABLO (URU),97410400,97410062,POR,FRA
2006,2006-07-08 21:00,Third place,Gottlieb-Daimler-Stadion,Stuttgart,Germany,3,1,Portugal,,52000,0,0,KAMIKAWA TORU (JPN),HIROSHIMA YOSHIKAZU (JPN),KIM DAE YOUNG (KOR),97410500,97410063,GER,POR
2006,2006-07-09 20:00,Final,Olympiastadion,Berlin,Italy,1,1,France,Italy win on penalties (5 - 3),69000,0,0,ELIZONDO HORACIO (ARG),GARCIA DARIO (ARG),OTERO RODOLFO (ARG),97410600,97410064,ITA,FRA
2010,2010-06-11 16:00,Group A,Soccer City Stadium,Johannesburg,South Africa,1,1,Mexico,,84490,0,0,RAVSHAN IRMATOV (UZB),ILYASOV RAFAEL (UZB),KOCHKAROV BAKHADYR (KGZ),249722,300061454,RSA,MEX
2010,2010-06-11 20:30,Group A,Cape Town Stadium,Cape Town,Uruguay,0,0,France,,64100,0,0,NISHIMURA YUICHI (JPN),SAGARA TORU (JPN),JEONG HAE SANG (KOR),249722,300061453,URU,FRA
2010,2010-06-12 13:30,Group B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,Korea Republic,2,0,Greece,,31513,1,0,HESTER MICHAEL (NZL),HINTZ JAN HENDRIK (NZL),MAKASINI TEVITA (TGA),249722,300061459,KOR,GRE
2010,2010-06-12 16:00,Group B,Ellis Park Stadium,Johannesburg,Argentina,1,0,Nigeria,,55686,1,0,WOLFGANG STARK (GER),SALVER JAN-HENDRIK (GER),PICKEL MIKE (GER),249722,300061460,ARG,NGA
2010,2010-06-12 20:30,Group C,Royal Bafokeng Sports Palace,Phokeng,England,1,1,USA,,38646,1,1,SIMON CARLOS (BRA),HAUSMANN ALTEMIR (BRA),BRAATZ ROBERTO (BRA),249722,300061466,ENG,USA
2010,2010-06-13 13:30,Group C,Peter Mokaba Stadium,Polokwane,Algeria,0,1,Slovenia,,30325,0,0,BATRES CARLOS (GUA),LEAL LEONEL (CRC),PASTRANA CARLOS (HON),249722,300061465,ALG,SVN
2010,2010-06-13 16:00,Group D,Loftus Versfeld Stadium,Tshwane/Pretoria,Serbia,0,1,Ghana,,38833,0,0,BALDASSI HECTOR (ARG),CASAS RICARDO (ARG),MAIDANA HERNAN (ARG),249722,300061471,SRB,GHA
2010,2010-06-13 20:30,Group D,Durban Stadium,Durban,Germany,4,0,Australia,,62660,2,0,RODRIGUEZ MARCO (MEX),CAMARGO JOSE LUIS (MEX),MORIN ALBERTO (MEX),249722,300111116,GER,AUS
2010,2010-06-14 13:30,Group E,Soccer City Stadium,Johannesburg,Netherlands,2,0,Denmark,,83465,0,0,ST�PHANE LANNOY (FRA),DANSAULT ERIC (FRA),UGO LAURENT (FRA),249722,300061478,NED,DEN
2010,2010-06-14 16:00,Group E,Free State Stadium,Mangaung/Bloemfontein,Japan,1,0,Cameroon,,30620,1,0,OLEG�RIO BENQUEREN�A (POR),CARDINAL JOSE (POR),MIRANDA BERTINO (POR),249722,300061477,JPN,CMR
2010,2010-06-14 20:30,Group F,Cape Town Stadium,Cape Town,Italy,1,1,Paraguay,,62869,0,1,ARCHUNDIA BENITO (MEX),VERGARA HECTOR (CAN),TORRENTERA MARVIN (MEX),249722,300061484,ITA,PAR
2010,2010-06-15 13:30,Group F,Royal Bafokeng Sports Palace,Phokeng,New Zealand,1,1,Slovakia,,23871,0,0,DAMON JEROME (RSA),NTAGUNGIRA CELESTIN (RWA),MOLEFE ENOCK (RSA),249722,300061483,NZL,SVK
2010,2010-06-15 16:00,Group G,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,C�te d'Ivoire,0,0,Portugal,,37034,0,0,LARRIONDA JORGE (URU),FANDINO PABLO (URU),ESPINOSA MAURICIO (URU),249722,300061489,CIV,POR
2010,2010-06-15 20:30,Group G,Ellis Park Stadium,Johannesburg,Brazil,2,1,Korea DPR,,54331,0,0,KASSAI VIKTOR (HUN),EROS GABOR (HUN),VAMOS TIBOR (HUN),249722,300061490,BRA,PRK
2010,2010-06-16 13:30,Group H,Mbombela Stadium,Nelspruit,Honduras,0,1,Chile,,32664,0,1,MAILLET EDDY (SEY),MENKOUANDE EVARIST (CMR),HASSANI BECHIR (TUN),249722,300061495,HON,CHI
2010,2010-06-16 16:00,Group H,Durban Stadium,Durban,Spain,0,1,Switzerland,,62453,0,0,WEBB HOWARD (ENG),DARREN CANN (ENG),MULLARKEY MICHAEL (ENG),249722,300111112,ESP,SUI
2010,2010-06-16 20:30,Group A,Loftus Versfeld Stadium,Tshwane/Pretoria,South Africa,0,3,Uruguay,,42658,0,1,BUSACCA MASSIMO (SUI),ARNET MATTHIAS (SUI),BURAGINA FRANCESCO (SUI),249722,300061452,RSA,URU
