Year,Datetime,Stage,Stadium,City,HomeTeamName,HomeTeamGoals,AwayTeamGoals,AwayTeamName,Winconditions,Attendance,HalftimeHomeGoals,HalftimeAwayGoals,Referee,Assistant1,Assistant2,RoundID,MatchID,HomeTeamInitials,AwayTeamInitials
1950,1950-06-29 15:30,Group 3,Durival de Brito,Curitiba,Sweden,2,2,Paraguay,,7903,2,1,MITCHELL ROBERT (SCO),LEMESIC LEO (YUG),GARCIA PRUDENCIO (USA),208,1228,SWE,PAR
1950,1950-06-29 15:00,Group 2,Independencia,Belo Horizonte,USA,1,0,England,,10151,1,0,DATTILO GENEROSO (ITA),DE LA SALLE CHARLES (FRA),GALEATI GIOVANNI (ITA),208,1202,USA,ENG
1950,1950-07-01 15:00,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,2,0,Yugoslavia,,142429,1,0,GRIFFITHS BENJAMIN (WAL),BERANEK ALOIS (AUT),DA COSTA VIEIRA JOSE (POR),208,1191,BRA,YUG
1950,1950-07-02 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Spain,1,0,England,,74462,0,0,GALEATI GIOVANNI (ITA),LUTZ JEAN (SUI),DATTILO GENEROSO (ITA),208,1199,ESP,ENG
1950,1950-07-02 15:00,Group 3,Pacaembu,Sao Paulo,Italy,2,0,Paraguay,,25811,1,0,ELLIS ARTHUR (ENG),GARCIA PRUDENCIO (USA),DE LA SALLE CHARLES (FRA),208,1218,ITA,PAR
1950,1950-07-02 15:00,Group 4,Independencia,Belo Horizonte,Uruguay,8,0,Bolivia,,5284,4,0,READER GEORGE (ENG),VIANA MARIO (BRA),LEMESIC LEO (YUG),208,1185,URU,BOL
1950,1950-07-02 15:40,Group 1,Eucaliptos,Porto Alegre,Switzerland,2,1,Mexico,,3580,2,0,EKLIND IVAN (SWE),DAHLNER GUNNAR (SWE),BUSTAMANTE SERGIO (CHI),208,1222,SUI,MEX
1950,1950-07-02 15:00,Group 2,Ilha do Retiro,Recife,Chile,5,2,USA,,8501,2,0,GARDELLI MARIO (BRA),HEYEN MARIO RUBEN (PAR),ALVAREZ ALFREDO (BOL),208,1194,CHI,USA
1950,1950-07-09 15:00,Group 6,Pacaembu,Sao Paulo,Uruguay,2,2,Spain,,44802,1,2,GRIFFITHS BENJAMIN (WAL),DATTILO GENEROSO (ITA),ALVAREZ ALFREDO (BOL),209,1207,URU,ESP
1950,1950-07-09 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,7,1,Sweden,,138886,3,0,ELLIS ARTHUR (ENG),GARCIA PRUDENCIO (USA),DE LA SALLE CHARLES (FRA),209,1189,BRA,SWE
